"Story","Title","Result","Date","Stability","Duration (s)"
"I am going to generate text","Verify system displays the same text variant value as selected","SUCCESS","2020-11-22T21:44:46.504+03:00[Europe/Moscow]","0.0","9.73"
"I am going to generate text","Verify uppercase checkbox recklick right","SUCCESS","2020-11-22T21:44:56.24+03:00[Europe/Moscow]","0.0","3.43"
"I am going to generate text","Verify strict regime checkbox was clicked","SUCCESS","2020-11-22T21:44:59.671+03:00[Europe/Moscow]","0.0","3.36"
"I am going to generate text","Verify generated text has expected number of symbols","SUCCESS","2020-11-22T21:45:03.037+03:00[Europe/Moscow]","0.0","4.72"
"I am going to generate text","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-22T21:45:07.763+03:00[Europe/Moscow]","0.0","2.45"
"I am going to generate text","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-22T21:45:10.215+03:00[Europe/Moscow]","0.0","2.37"
"I am going to generate text","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-22T21:45:12.587+03:00[Europe/Moscow]","0.0","2.2"
