"Story","Title","Result","Date","Stability","Duration (s)"
"Text generator","Verify system displays the same text variant value as selected","SUCCESS","2020-11-29T15:32:59.797+03:00[Europe/Moscow]","0.0","5.12"
"Text generator","Verify uppercase checkbox recklick right","SUCCESS","2020-11-29T15:33:04.936+03:00[Europe/Moscow]","0.0","6.53"
"Text generator","Verify strict regime checkbox was clicked","SUCCESS","2020-11-29T15:33:11.474+03:00[Europe/Moscow]","0.0","4.76"
"Text generator","Verify generated text has expected number of symbols","SUCCESS","2020-11-29T15:33:16.239+03:00[Europe/Moscow]","0.0","7.54"
"Text generator","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-29T15:33:23.796+03:00[Europe/Moscow]","0.0","3.68"
"Text generator","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-29T15:33:27.48+03:00[Europe/Moscow]","0.0","3.69"
"Text generator","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-29T15:33:31.177+03:00[Europe/Moscow]","0.0","3.55"
