"Story","Title","Result","Date","Stability","Duration (s)"
"I am going to generate text","Verify system displays the same text variant value as selected","SUCCESS","2020-11-12T00:18:14.4+03:00[Europe/Moscow]","0.0","4.01"
"I am going to generate text","Verify uppercase checkbox recklick right","SUCCESS","2020-11-12T00:18:18.419+03:00[Europe/Moscow]","0.0","4.9"
"I am going to generate text","Verify strict regime checkbox was clicked","SUCCESS","2020-11-12T00:18:23.332+03:00[Europe/Moscow]","0.0","4.56"
"I am going to generate text","Verify generated text has expected number of symbols","SUCCESS","2020-11-12T00:18:27.893+03:00[Europe/Moscow]","0.0","6.04"
"I am going to generate text","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-12T00:18:33.942+03:00[Europe/Moscow]","0.0","3.09"
"I am going to generate text","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-12T00:18:37.044+03:00[Europe/Moscow]","0.0","3.99"
"I am going to generate text","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-12T00:18:41.06+03:00[Europe/Moscow]","0.0","3.1"
