"Story","Title","Result","Date","Stability","Duration (s)"
"Text generator","Verify system displays the same text variant value as selected","SUCCESS","2020-11-29T15:19:38.844+03:00[Europe/Moscow]","0.0","5.19"
"Text generator","Verify uppercase checkbox recklick right","SUCCESS","2020-11-29T15:19:44.04+03:00[Europe/Moscow]","0.0","5.63"
"Text generator","Verify strict regime checkbox was clicked","SUCCESS","2020-11-29T15:19:49.678+03:00[Europe/Moscow]","0.0","4.88"
"Text generator","Verify generated text has expected number of symbols","SUCCESS","2020-11-29T15:19:54.56+03:00[Europe/Moscow]","0.0","10.52"
"Text generator","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-29T15:20:05.095+03:00[Europe/Moscow]","0.0","4.01"
"Text generator","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-29T15:20:09.117+03:00[Europe/Moscow]","0.0","3.33"
"Text generator","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-29T15:20:12.463+03:00[Europe/Moscow]","0.0","3.63"
