"Story","Title","Result","Date","Stability","Duration (s)"
"Onliner Header check","Homepage sections header check fullsize","SUCCESS","2020-11-29T15:19:38.925+03:00[Europe/Moscow]","0.0","11.56"
"Onliner Header check","Homepage sections header check tinysize","SUCCESS","2020-11-29T15:19:50.496+03:00[Europe/Moscow]","0.0","6.89"
"Onliner Header check","Homepage sections header menu click fullsize","SUCCESS","2020-11-29T15:20:08.973+03:00[Europe/Moscow]","0.0","10.78"
"Onliner Header check","Homepage sections header click tinysize","SUCCESS","2020-11-29T15:20:25.673+03:00[Europe/Moscow]","0.0","6.85"
"Onliner Header check","Homepage sections header menu ddl check fullsize","SUCCESS","2020-11-29T15:20:36.874+03:00[Europe/Moscow]","0.0","4.74"
"Onliner Header check","Homepage sections header logoclick fullsize","SUCCESS","2020-11-29T15:20:41.616+03:00[Europe/Moscow]","0.0","6.09"
"Onliner Header check","Homepage sections header logoclick tinysize","SUCCESS","2020-11-29T15:20:47.714+03:00[Europe/Moscow]","0.0","5.5"
