"Story","Title","Result","Date","Stability","Duration (s)"
"Onliner Header check","Homepage sections header check fullsize","SUCCESS","2020-11-22T21:45:04.879+03:00[Europe/Moscow]","0.0","7.59"
"Onliner Header check","Homepage sections header check tinysize","SUCCESS","2020-11-22T21:45:12.47+03:00[Europe/Moscow]","0.0","5.21"
"Onliner Header check","Homepage sections header menu click fullsize","SUCCESS","2020-11-22T21:45:26.459+03:00[Europe/Moscow]","0.0","6.39"
"Onliner Header check","Homepage sections header click tinysize","SUCCESS","2020-11-22T21:45:39.084+03:00[Europe/Moscow]","0.0","7.45"
"Onliner Header check","Homepage sections header menu ddl check fullsize","SUCCESS","2020-11-22T21:45:51.909+03:00[Europe/Moscow]","0.0","5.63"
"Onliner Header check","Homepage sections header logoclick fullsize","SUCCESS","2020-11-22T21:45:57.554+03:00[Europe/Moscow]","0.0","7.49"
"Onliner Header check","Homepage sections header logoclick tinysize","SUCCESS","2020-11-22T21:46:05.05+03:00[Europe/Moscow]","0.0","6.98"
