"Story","Title","Result","Date","Stability","Duration (s)"
"Onliner Header check","Homepage sections header check fullsize","SUCCESS","2020-11-29T15:32:59.832+03:00[Europe/Moscow]","0.0","12.07"
"Onliner Header check","Homepage sections header check tinysize","SUCCESS","2020-11-29T15:33:11.917+03:00[Europe/Moscow]","0.0","7.71"
"Onliner Header check","Homepage sections header menu click fullsize","SUCCESS","2020-11-29T15:33:33.637+03:00[Europe/Moscow]","0.0","8.4"
"Onliner Header check","Homepage sections header click tinysize","SUCCESS","2020-11-29T15:33:49.825+03:00[Europe/Moscow]","0.0","5.78"
"Onliner Header check","Homepage sections header menu ddl check fullsize","SUCCESS","2020-11-29T15:33:59.838+03:00[Europe/Moscow]","0.0","4.68"
"Onliner Header check","Homepage sections header logoclick fullsize","SUCCESS","2020-11-29T15:34:04.522+03:00[Europe/Moscow]","0.0","6.45"
"Onliner Header check","Homepage sections header logoclick tinysize","SUCCESS","2020-11-29T15:34:10.973+03:00[Europe/Moscow]","0.0","5.44"
